id,path
0,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/mixing_bowl/n03775546_1526.JPEG
1,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/mixing_bowl/n03775546_2583.JPEG
2,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/mixing_bowl/n03775546_17054.JPEG
3,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/mixing_bowl/n03775546_8079.JPEG
4,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/mixing_bowl/n03775546_6620.JPEG
5,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/mixing_bowl/n03775546_8809.JPEG
6,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/mixing_bowl/n03775546_14407.JPEG
7,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/mixing_bowl/n03775546_18805.JPEG
8,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/mixing_bowl/n03775546_3108.JPEG
9,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/mixing_bowl/n03775546_8533.JPEG
10,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/magpie/n01582220_6305.JPEG
11,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/magpie/n01582220_6915.JPEG
12,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/magpie/n01582220_8930.JPEG
13,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/magpie/n01582220_5870.JPEG
14,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/magpie/n01582220_36701.JPEG
15,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/magpie/n01582220_4738.JPEG
16,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/magpie/n01582220_9174.JPEG
17,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/magpie/n01582220_9114.JPEG
18,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/magpie/n01582220_7366.JPEG
19,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/magpie/n01582220_10712.JPEG
20,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/wombat/n01883070_1689.JPEG
21,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/wombat/n01883070_809.JPEG
22,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/wombat/n01883070_26704.JPEG
23,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/wombat/n01883070_4202.JPEG
24,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/wombat/n01883070_7273.JPEG
25,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/wombat/n01883070_1013.JPEG
26,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/wombat/n01883070_2167.JPEG
27,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/wombat/n01883070_3170.JPEG
28,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/wombat/n01883070_7142.JPEG
29,/Users/eliflale/Desktop/simvec/VectorDatabase/api_for_database/DatabaseApi/user_alper_gallery/train/wombat/n01883070_7363.JPEG
